product,date,title,rating,body,helpful_count
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,3/1/2024,"1.0 out of 5 stars
Not for me",1,Not impressed with this. Used it 4 nights in a row. Went back to my previous lotion,0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,12/1/2022,"1.0 out of 5 stars
Bad Batch",1,"1. Was spilling in the box it came in.2. I had some of this produce that I bought at the store and have been using for a while. The one that amazon sent over didn't smell or feel the same. I think it was a bad batch or something is up.3. I ran out of my supply so I tried some of this and had breakouts all over my face.I think recently there's been a bad batch of this, but just to be safe I won't be ordering this product or any skin care products from amazon anymore. Ill only buy in store",5
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,27/12/2023,"1.0 out of 5 stars
Came  without a top  to dispense",1,It came without the part to dispense. Quality control  please,0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,14/1/2024,"1.0 out of 5 stars
Product open in bag",1,Product was open and spilled on my other items,0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,25/4/2023,"1.0 out of 5 stars
Difficulty with opening up pump",1,"The lotion is of no use if you can’t get the pump unscrewed and working. I’ve used this brand many times and love it, but had to return this one because in trying to turn the pump on the cap broke off. The one sold on Amazon had a different cap from those sold at pharmacies or Costco.",3
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,31/1/2024,"1.0 out of 5 stars
Spilled",1,Item spilled,0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,2/8/2023,"1.0 out of 5 stars
Spilled Product, Consider buying in-store",1,"it’s really a great product, I genuinely love it but maybe consider buying it in a store than ordering it for delivery on Amazon. It spilled all inside the the bag they sent it in. Poor packaging choice on their part.",0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,9/6/2023,"1.0 out of 5 stars
Smells like fish!!!",1,"I’ve been using this lotion since 2020, so I know what it’s suppose to smell like. I thought it was all in my head at first, but this order from Amazon does in fact smell like fish. I simply cannot use it and I am livid.",6
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,25/3/2022,"1.0 out of 5 stars
Didn’t Work Like the Cerave Lotion from the Store",1,"I’ve been using the Cerave Moisturing Lotion for a decade, and it has always been the best thing for my sensitive skin.This is the second time I’ve purchased this lotion from Amazon and had adverse skin reactions. It caused burning, excessive dryness and peeling, and acne. I discontinued use and started using another bottle I bought at a local store, and my skin returned to normal.My experiences buying this product on Amazon make me wonder if it is really the same Cerave Moisturizing Lotion I know and love.",8
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,10/3/2022,"1.0 out of 5 stars
Very frustrated",1,I'm so frustrated. The pump does not work. Ive tried and tried it woukd not work. I just dont like when the pump does not bv work. I cannot bv return it. Because I desperately needs both of these cream. I have such problems  with all ten of  my fingers.  They look so bad as if intake a razor blade and slice ed my fingers numerous times. All the skin from the tips of my  fingers are all so tender and sore. I cannot hold anything. So a dermatologist suggested these cream. I wish the pump would work. Very disapointed,2
