product,date,title,rating,body,helpful_count
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,6/3/2024,"5.0 out of 5 stars
Excelente producto",5,Excelente producto,0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,19/2/2024,"5.0 out of 5 stars
Excellent work",5,It’s work great. Before my skin was so dry after using this my skin glowing…. I just love this,0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,25/2/2024,"5.0 out of 5 stars
Been using this for years",5,I have been using this moisturizer for many years. It never disappoints.,0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,12/2/2024,"5.0 out of 5 stars
Love it",5,My dermatologist recommended this lotion. I have been using it for several years. It has a light texture and doesn’t clog my pores. Amazon’s price is great.,0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,19/2/2024,"5.0 out of 5 stars
Love this stuff.",5,"There is nothing else that I know of, that comes close to matching this for the price. =^)",0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,5/2/2024,"5.0 out of 5 stars
I use this all the time, love it!",5,"I usually only wash my face when I've worn make up, which is not everyday.  So when I do wash it, my skin kinda needs a good cleaning.  This does that, without drying me out.",0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,14/2/2024,"5.0 out of 5 stars
Love CeraVe  products!",5,"I use lots of CeraVe products and have never been unhappy. I recommend this for dry skin, itchy skin, and it is light weight.",0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,21/2/2024,"5.0 out of 5 stars
Great product",5,This is the only moisturizer that works for my skin!,0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,19/2/2024,"5.0 out of 5 stars
Silky smooth",5,No scent but smooth going on and seems to be doing what its supposed to do.,0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,26/2/2024,"5.0 out of 5 stars
WINNER",5,Nothing better on the market,0
